uID,mTitle,wDate,rating
6744,The Physician,2018-06-11,3
5446,Jatts in Golmaal,2019-07-23,2
7337,Torbaaz,2021-08-17,4
7071,Losing Sight of Shore,2017-06-26,2
6756,Night of Knots,2022-05-08,3
2473,AllI Wish,2023-08-25,1
2948,Mi amigo Alexis,2022-07-14,4
6756,Nobody Knows I'm Here,2022-05-17,1
7068,Mehandi Circus,2019-11-22,3
7714,Black Hawk Down,2023-07-17,4
5528,He's All That,2022-03-07,1
6171,Amy,2019-02-27,2
1621,The Operative,2024-06-02,2
3007,Judwaa,2020-08-12,4
6171,Lucas Brothers: On Drugs,2024-03-24,2
6744,Little Big Women,2022-07-27,1
4119,Grand Masti,2018-10-08,5
4387,Shattered Memories,2022-07-15,1
9784,Full Out 2: You Got This!,2022-12-10,2
6062,Motu Patlu in Dragon's World,2022-11-14,1
7216,Brother Jekwu,2024-06-09,2
9490,Barbra: The Music ... The Mem'ries ... The Magic!,2024-04-16,5
2515,Quam's Money,2023-02-23,1
4700,Alpha and Omega: The Legend of the Saw Tooth Cave,2022-12-17,1
7916,Officer Downe,2019-08-04,1
5309,Dick Johnson Is Dead,2023-11-05,5
7068,Rosemary's Baby,2023-03-23,5
7643,As Good as It Gets,2024-02-19,1
3858,Yo-Kai Watch: The Movie,2021-11-24,2
7553,Gothika,2023-06-08,5
6062,FYRE: The Greatest Party That Never Happened,2023-11-22,4
3858,Colonia,2023-01-31,3
1270,Greg Davies: You Magnificent Beast,2023-10-09,4
7068,Mi Shivajiraje Bhosale Boltoy,2020-02-11,3
4533,Dead Again in Tombstone,2023-07-14,4
6711,Sword of Trust,2023-11-15,2
5118,My Boss's Daughter,2023-11-29,5
4189,Evelyn,2021-07-17,1
5994,El testigo,2020-04-07,3
7553,Filmworker,2024-06-01,4
4537,The Vanished,2022-06-21,4
3961,The Karate Kid,2024-01-04,3
3565,Spy Time,2021-04-19,5
7071,Shattered Memories,2023-07-28,4
4189,Lift Like a Girl,2022-02-15,5
9393,Sabotage,2022-03-09,5
5994,Shuddhi,2022-12-18,4
2243,Shuddhi,2020-04-18,1
7337,One Day We'll Talk About Today,2024-07-24,3
7760,Westerplatte Resists,2021-10-31,1
4260,Mr. Woodcock,2023-10-07,1
7044,Ranbhool,2023-01-23,1
5456,Rising Phoenix,2021-07-07,4
7301,The Lion Woman,2018-03-04,1
4366,Uriyadi 2,2022-02-16,1
1270,Elstree 1976,2016-11-28,1
6744,Dries,2023-03-01,5
7071,Stop at Nothing: The Lance Armstrong Story,2022-11-06,5
9344,Someone Great,2023-11-08,5
7211,Dil Chahta Hai,2020-08-31,2
4390,Latte and the Magic Waterstone,2023-04-24,4
7688,Kiss & Cry,2019-01-12,5
3007,Barbie: Spy Squad,2024-02-01,2
4129,Dick Johnson Is Dead,2022-10-26,1
5784,Kaake Da Viyah,2021-04-25,3
7224,The River Wild,2024-01-10,5
4189,Dangal,2020-12-08,4
7553,Free Willy,2024-01-28,5
3007,Soul to Keep,2022-06-06,3
6829,The Lion Woman,2024-04-26,1
7044,Enlighten Us,2020-11-23,2
5928,The Lion Woman,2019-02-12,2
4189,Aarakshan,2021-08-13,4
4533,Judwaa,2020-08-23,1
5118,Océans,2021-04-02,3
5928,Andhakaaram,2024-03-06,2
6983,Alien Contact: Outer Space,2019-10-03,1
7571,Jackie Brown,2023-10-25,5
3252,Adore,2021-10-24,2
7301,Asu Mare 2,2024-06-27,1
9982,Pee-wee's Big Holiday,2022-02-02,1
7714,Ghost Whispers,2021-07-13,1
8310,The 24 Hour War,2023-12-16,5
7337,Chhota Bheem aur Krishna vs Zimbara,2021-10-11,1
4119,Jackie Brown,2022-06-10,3
2783,Can’t Complain,2022-07-30,1
8913,Prelude to War,2021-01-10,5
7301,The Tambour of Retribution,2023-10-04,1
2948,Balto 3: Wings of Change,2023-06-12,2
7571,Da 5 Bloods,2023-10-18,2
6744,Saavat,2023-04-30,5
9982,2012,2024-08-03,4
4129,Thomas & Friends: Marvelous Machinery: A New Arrival,2023-03-06,2
4129,Bokeh,2020-05-13,5
2515,Gurgaon,2024-08-01,3
9344,Kath & Kimderella,2018-12-01,4
7571,All of You,2022-08-04,4
4916,Rustom,2023-11-27,2
7553,Socha Na Tha,2020-01-12,5
6615,Lucky: No Time for Love,2022-04-01,4
8983,Full Out 2: You Got This!,2023-04-03,4
2300,Varane Avashyamund,2023-09-24,2
2030,The New Romantic,2022-10-17,3
2665,Prince Charming,2022-07-30,4
8589,AllI Wish,2023-06-20,3
4366,The Angry Birds Movie 2,2022-07-24,5
2243,Honey 2,2023-06-05,2
9982,Romance Doll,2021-09-16,1
7775,Mantostaan,2022-09-04,2
4119,Sigaram Thodu,2020-11-08,5
5292,Ben Platt Live from Radio City Music Hall,2021-09-06,2
4074,A Love Story,2023-03-12,3
2515,Little Singham: Kaal Ka Badla,2020-12-03,2
7144,Get the Goat,2023-09-19,4
4074,Max Rose,2019-10-26,3
6711,Detour,2022-03-21,2
4074,Jake's Buccaneer Blast,2018-12-07,1
7714,Break Up 100,2019-06-11,2
7760,Walking Out,2022-05-06,1
6422,The Perfect Picture: Ten Years Later,2022-04-06,5
6744,Treasures from the Wreck of the Unbelievable,2022-12-18,3
7071,Untamed Romania,2024-08-06,2
7337,Colours of Passion,2020-04-07,1
6062,May You Prosper,2022-05-05,5
4700,Sara's Notebook,2024-08-02,1
7714,13TH: A Conversation with Oprah Winfrey & Ava DuVernay,2023-10-29,5
7144,Pocoyo & Cars,2023-09-25,3
4119,My Beautiful Broken Brain,2022-12-19,2
8754,The 24 Hour War,2021-11-27,3
5446,Terminator 3: Rise of the Machines,2020-12-18,4
6615,S.M.A.R.T Chase,2022-01-17,4
9490,Shaitan,2020-08-25,5
4533,You Carry Me,2020-01-12,5
7760,The Girl from the Song,2022-07-21,2
9090,Dear Dracula,2019-11-27,3
9368,Take Me Home Tonight,2020-08-19,4
7643,An Unremarkable Christmas,2021-06-26,2
2030,Bioscope,2021-01-16,1
5292,Sadie's Last Days on Earth,2020-05-21,4
3961,Nights in Rodanthe,2023-06-01,5
4390,"Good Night, and Good Luck",2021-03-28,1
4390,Fadily Camara : La plus drôle de tes copines,2022-04-18,2
4390,It's Now or Never,2021-10-20,3
3930,Lift Like a Girl,2022-01-04,5
3858,Manorama Six Feet Under,2024-01-08,5
2948,As Good as It Gets,2021-09-07,2
7104,Asura: The City of Madness,2019-01-10,1
7916,A Scandall,2019-07-01,1
2473,A Christmas Prince,2018-10-19,3
8310,The 24 Hour War,2021-09-22,2
7068,Dries,2019-12-09,4
3930,Paris Is Burning,2024-07-23,1
8913,Bang Rajan 2,2022-02-17,5
6276,My Boss's Daughter,2022-09-10,3
6983,Hope Springs Eternal,2021-07-19,3
6756,Wine Country,2021-09-26,3
9982,Ali's Wedding,2022-01-01,4
9871,Latte and the Magic Waterstone,2022-06-22,3
2515,The Black Godfather,2020-08-15,4
9871,Little Singham: Kaal Ka Badla,2023-11-10,4
5994,Wave of Cinema: Surat dari Timur,2022-11-30,4
7068,Martial Arts of Shaolin,2023-08-27,3
4129,"Good Night, and Good Luck",2020-11-06,5
3252,One Heart: The A.R. Rahman Concert Film,2019-02-22,5
7104,Adore,2021-12-03,3
5292,The Sum of All Fears,2021-08-08,3
9393,Nymphomaniac: Volume II,2020-12-04,2
7224,Alien Contact: Outer Space,2023-11-15,2
2243,Full Out 2: You Got This!,2024-07-18,5
6756,Rogue City,2022-03-04,4
5118,Monster High: Fright On!,2020-04-11,4
3007,Romantik Komedi,2023-03-25,4
4022,'76,2021-08-09,3
1270,The Breakup Playlist,2019-07-09,1
2665,All of You,2024-06-01,1
7353,Oloibiri,2024-06-13,4
8913,Mad Ron's Prevues from Hell,2019-06-13,2
5528,An Hour and a Half,2020-08-06,1
7647,Hamburger Hill,2023-03-24,2
7034,ReMastered: Who Killed Jam Master Jay?,2022-09-06,1
6711,Taxi Ballad,2022-12-23,5
9090,My Happy Family,2021-05-13,1
5784,Monkey Up,2016-05-03,4
6744,The Nut Job,2023-01-13,3
6744,While We're Young,2023-06-20,4
8755,A Little Chaos,2020-04-29,2
3007,Secrets of Althorp - The Spencers,2023-03-31,5
2515,The Black Godfather,2022-02-18,5
6756,One Day We'll Talk About Today,2023-07-03,1
3211,Carlos Ballarta: Furia Ñera,2019-05-12,4
4537,Band of Robbers,2023-06-09,3
8983,Get the Goat,2022-12-09,1
7714,The Stanford Prison Experiment,2022-02-28,2
6276,Cuba and the Cameraman,2018-04-11,4
7224,Blue Ruin,2020-02-26,4
2030,Chocolate City: Vegas Strip,2020-11-23,4
4521,You Carry Me,2024-07-24,3
9344,Lembi 8 Giga,2020-04-30,5
9982,Christmas Crossfire,2022-11-12,4
4387,Kaake Da Viyah,2020-08-31,5
5528,16 Blocks,2022-03-29,5
7643,The Last Summer,2019-12-26,4
6422,The Holiday Calendar,2022-09-01,5
4366,Jatts in Golmaal,2020-04-20,5
3252,The Women's Balcony,2020-04-24,2
7216,Tig,2021-06-20,5
5994,"Sí, Mi Amor",2021-05-24,1
7916,Madam Chief Minister,2022-05-12,2
7553,Ram Teri Ganga Maili,2022-08-16,3
9368,The Breakup Playlist,2019-12-09,3
7647,Rudy Habibie,2023-02-20,5
4189,Ip Man 4: The Finale,2022-08-04,5
2515,This Changes Everything,2023-01-06,5
6615,Guilty,2021-07-14,2
2665,Woodstock,2022-02-10,4
6756,Socha Na Tha,2018-12-22,2
3961,Philomena,2021-06-23,4
5347,Girl on the Third Floor,2022-05-01,4
5309,Rhyme & Reason,2022-04-14,4
8755,Patria,2023-01-10,4
9871,Urzila Carlson: Overqualified Loser,2023-08-26,3
4700,The Lion Woman,2018-12-27,1
3961,An Hour and a Half,2022-06-12,3
7144,Kung Fu Panda: Holiday,2017-03-26,5
5347,Dumplin',2021-09-01,3
4657,The Rezort,2018-08-20,1
7068,122,2021-02-18,3
2300,Bokeh,2020-10-20,3
4260,The Girl from the Song,2024-04-27,3
8589,Monty Python: The Meaning of Live,2019-05-31,4
5784,The Indian in the Cupboard,2021-03-20,5
2473,The Phantom of the Opera,2023-09-03,4
8755,Angry Indian Goddesses,2018-03-11,2
5994,World Trade Center,2020-03-05,1
7104,The Net,2024-04-16,3
2665,An Unremarkable Christmas,2023-10-29,5
4022,Uncut Gems,2022-07-07,2
2733,Avengement,2023-06-03,1
2473,Alejandro Riaño: Especial de stand up,2021-09-03,5
3211,Jungle Beat: The Movie,2022-05-23,4
5347,Incoming,2020-10-03,3
7337,Colours of Passion,2023-07-05,2
7647,Harishchandrachi Factory,2021-04-28,5
3007,The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie,2023-04-19,4
2515,Chhota Bheem & Ganesh,2023-01-15,2
5446,A Leaf of Faith,2022-06-25,4
3824,Step Sisters,2024-07-04,5
8913,Full Out 2: You Got This!,2022-02-07,2
4129,AllI Wish,2021-06-17,2
4537,Care of Kancharapalem,2023-04-15,4
9784,Quam's Money,2022-11-15,4
5347,A Little Chaos,2022-10-18,5
7353,Undercover Brother 2,2020-08-03,5
8310,In the Shadow of Iris,2020-10-08,1
4366,Dog Gone Trouble,2023-06-22,2
3565,Radium Girls,2022-05-09,5
4028,Full Out 2: You Got This!,2023-02-18,2
4022,The Physician,2024-05-13,1
5118,The Sky Is Pink,2021-07-20,3
5118,The Guernsey Literary and Potato Peel Pie Society,2024-03-30,5
3007,I Fine... Thank You... Love You,2022-02-26,4
4700,Ram Teri Ganga Maili,2024-04-19,3
5456,Shikari,2023-03-21,1
4533,Motu Patlu Dino Invasion,2023-08-20,3
8914,Mosul,2021-05-21,3
8913,The Devil and Father Amorth,2024-02-10,3
8755,Nobody Knows I'm Here,2021-09-04,2
8310,Chhota Bheem & Ganesh,2022-01-28,2
4129,Spivak,2020-07-19,5
4390,Ferry,2023-02-22,1
8914,Siren,2023-03-24,4
7714,The Rolling Stones: Olé Olé Olé! A Trip Across Latin America,2023-07-25,2
5292,Ben Platt Live from Radio City Music Hall,2024-07-14,4
2665,JFK: The Making of a President,2024-06-21,2
3211,Carlos Ballarta: Furia Ñera,2019-07-11,1
8755,Ali's Wedding,2020-01-01,1
4129,The Plagues of Breslau,2024-05-07,2
2243,Stop at Nothing: The Lance Armstrong Story,2019-03-10,1
7688,Rush,2021-06-10,1
9784,Saavat,2023-10-12,2
5118,This Changes Everything,2023-06-19,4
7647,Fary Is the New Black,2018-10-10,3
2783,Judwaa,2022-01-18,4
2733,Agyaat,2020-03-29,2
2515,Grand-Daddy Day Care,2022-01-11,4
3930,Paris Is Burning,2024-04-27,5
7643,Sergio,2022-04-24,1
6829,The Brawler,2021-04-26,5
4366,English Babu Desi Mem,2020-08-31,1
3858,Harishchandrachi Factory,2023-02-18,4
7104,Sabotage,2022-06-08,2
3364,Athlete A,2024-01-08,2
4657,Dil Hai Tumhaara,2020-03-12,4
5928,How High 2,2024-04-25,5
2665,Lego DC Comics: Batman Be-Leaguered,2019-11-07,2
6756,Cargo,2023-12-29,1
2243,Terminator 3: Rise of the Machines,2023-02-01,2
3930,Balto 3: Wings of Change,2021-06-30,4
2665,In Too Deep,2022-03-19,3
3007,While We're Young,2022-09-21,2
1270,Océans,2020-06-22,1
7224,Blue Ruin,2022-04-14,3
4129,Honey: Rise Up and Dance,2020-03-07,1
9490,The Doll,2024-04-22,5
3961,The Meaning of Monty Python,2020-08-07,3
7211,Ava,2023-06-28,3
2243,The Love Affair,2021-05-26,3
3930,Balto 3: Wings of Change,2019-08-18,2
7688,Halkaa,2021-06-06,4
4129,Raya and Sakina,2023-03-02,5
6171,Overnight Republic,2024-03-03,2
6983,The Sum of All Fears,2023-06-24,2
4074,The Pursuit of Happyness,2020-06-07,1
5292,Brother's Shadow,2022-10-14,4
6276,2 Alone in Paris,2023-04-23,2
3252,Uriyadi 2,2024-01-21,2
4189,Irada Pakka,2019-08-23,2
7571,Black Panther,2022-10-24,4
7068,Thumper,2021-12-27,2
3211,Dovlatov,2021-10-07,4
7916,Get Santa,2019-11-04,4
3858,Backfire,2022-05-10,5
7647,Chhota Bheem aur Krishna vs Zimbara,2023-12-16,2
3007,ReMastered: Tricky Dick & The Man in Black,2022-03-09,3
7044,Evelyn,2023-10-16,3
7068,The River Wild,2019-09-16,3
9871,23:59,2022-08-11,2
6744,Mi amigo Alexis,2024-01-11,1
7224,Alien Contact: Outer Space,2024-06-24,1
7916,The Death of Mr. Lazarescu,2021-12-11,4
4521,Donnie Brasco,2020-06-24,3
4366,The 12th Man,2021-12-14,5
2515,The Apostate,2024-02-26,3
5347,Super Bheem Bana Vajraveer,2020-02-14,3
7714,Furthest Witness,2019-11-12,2
4022,Garfunkel and Oates: Trying to be Special,2018-02-07,5
4387,Beiimaan Love,2021-04-06,3
2473,Motu Patlu in Octupus World,2023-09-24,4
3364,The Women's Balcony,2023-06-17,3
2733,Someone Great,2019-11-26,4
8667,Garfunkel and Oates: Trying to be Special,2022-01-09,2
8913,Joker,2022-09-10,5
8589,Aarakshan,2021-04-18,1
7571,Kath & Kimderella,2024-06-24,5
7714,FYRE: The Greatest Party That Never Happened,2022-04-28,5
7647,The Nut Job,2021-04-16,2
4022,The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie,2023-11-09,1
4390,Oasis: Supersonic,2019-06-26,2
8983,The Most Unknown,2024-06-13,4
3007,Uriyadi 2,2024-01-30,4
7144,Slow Country,2020-04-07,1
3364,Lucas Brothers: On Drugs,2017-06-21,4
2948,It's Now or Never,2016-03-01,3
2665,The Royal Bengal Tiger,2023-06-21,4
3961,Aadu 2,2020-11-29,3
7337,American Masters: Inventing David Geffen,2021-08-09,5
7647,This Is the Life,2023-04-29,5
7144,Dangal,2019-04-12,4
4700,Filmworker,2020-10-05,4
8310,Nymphomaniac: Volume II,2021-11-23,1
7301,S.M.A.R.T Chase,2023-02-28,4
4028,Ram Teri Ganga Maili,2020-01-16,4
4533,Bolt,2019-01-16,5
6062,Sword of Trust,2022-05-22,5
4366,Silent,2019-07-28,3
4387,"Sí, Mi Amor",2021-04-28,3
4260,Jake's Buccaneer Blast,2024-06-05,3
6422,Kaake Da Viyah,2021-07-02,4
5292,Employee of the Month,2021-04-06,5
4022,Mariah Carey's Merriest Christmas,2023-01-11,1
9982,Motu Patlu in the City of Gold,2022-10-13,2
8755,Kyaa Kool Hai Hum,2023-05-15,3
5309,Covered: Alive in Asia,2019-08-19,5
4537,Little Singham: Kaal Ka Badla,2021-07-20,4
4537,Best of the Best,2024-01-15,2
6062,My Beautiful Broken Brain,2019-11-14,3
7071,All The Bright Places,2020-10-20,1
4022,The Net,2021-08-01,3
6744,Kya Kehna,2018-08-26,3
5994,Dog Gone Trouble,2023-08-02,4
8310,This Changes Everything,2022-04-09,5
5456,Mr. Deeds,2023-07-26,3
2733,The Sapphires,2022-04-17,1
2948,Shuddhi,2018-08-17,1
7353,Bygones Be Bygones,2024-04-03,5
9982,Sour Grapes,2017-06-20,5
8754,Nights in Rodanthe,2022-01-27,1
8754,Money Talks,2021-05-06,3
8914,Sour Grapes,2018-04-16,5
7714,"Martin Matte: La vie, la mort...eh la la..!",2024-05-01,3
8667,The Original Kings of Comedy,2021-08-02,5
4387,Only the Dead,2021-01-10,2
4390,The Physician,2023-03-26,4
7553,Uma Maheswara Ugra Roopasya,2023-06-29,4
2733,Radium Girls,2022-04-22,4
6983,The Brawler,2024-02-04,5
3364,Up in the Air,2021-09-16,4
6744,Poseidon,2021-12-27,5
7211,Shattered Memories,2022-08-02,3
4521,The Seven Deadly Sins the Movie: Prisoners of the Sky,2022-06-23,2
8310,The Stanford Prison Experiment,2017-11-10,5
3961,Tik Tok,2023-03-03,1
7211,Insan,2022-06-17,2
7068,The Starling,2023-08-17,2
4815,Rush,2021-06-03,3
4916,Ho Mann Jahaan,2022-04-14,5
4390,How the Beatles Changed the World,2018-03-14,2
3007,Greg Davies: You Magnificent Beast,2020-07-12,5
2948,The Net,2021-11-07,4
4387,Rustom,2022-11-29,3
9393,The River Wild,2021-04-03,1
7104,Sleeping with Other People,2024-06-02,5
4700,Varane Avashyamund,2023-10-26,5
5309,Katt Williams: The Pimp Chronicles: Pt. 1,2020-12-15,4
4815,Platoon,2022-12-12,2
5928,The Spiderwick Chronicles,2019-07-20,4
9490,Sara's Notebook,2023-09-01,4
4815,The Pixar Story,2020-07-15,1
8914,Backfire,2020-11-17,1
7301,Elstree 1976,2016-12-31,5
5347,Memory Games,2020-08-29,2
5994,Furthest Witness,2023-10-03,1
7353,Charlie's Angels,2024-03-17,3
3252,Hunt to Kill,2022-07-18,5
7216,Bethany Hamilton: Unstoppable,2021-07-13,2
9982,The Operative,2022-01-21,3
5292,Forbidden Games: The Justin Fashanu Story,2020-06-13,3
2783,Dovlatov,2023-09-08,4
9393,Khido Khundi,2024-03-19,3
5347,Danny Says,2020-04-06,4
9784,Cut Bank,2021-01-12,5
2783,Either Me Or My Auntie,2021-01-23,3
7647,Free Willy,2020-07-25,5
5456,Jo Pil-ho: The Dawning Rage,2023-10-19,5
8983,Kiss & Cry,2022-12-19,3
7643,Sun Dogs,2024-06-07,5
7044,The Lion Woman,2021-05-30,5
8754,The Breakup Playlist,2021-08-07,3
4366,How to Get Over a Breakup,2021-01-13,4
5928,Sigaram Thodu,2020-06-01,1
4366,Eeda,2019-02-21,1
8913,Dear Dracula,2018-09-28,2
3824,Antidote,2022-02-09,2
5309,122,2021-09-10,1
5292,Virunga: Gorillas in Peril,2020-05-24,4
7688,InuYasha: The Movie 2: The Castle Beyond the Looking Glass,2021-01-16,4
2948,Berserk: The Golden Age Arc I - The Egg of the King,2019-12-25,1
7044,Break Up 100,2022-02-27,3
8983,Charlie's Angels,2021-07-06,5
5446,The Death of Mr. Lazarescu,2023-07-31,1
3252,The New Romantic,2020-08-01,1
6171,The Sum of All Fears,2023-08-09,5
8983,The Sleepover,2024-03-10,2
7071,Shaitan,2022-12-26,4
9344,Kyaa Kool Hai Hum,2022-07-12,3
2665,The Nut Job,2022-12-03,3
